composition,T(K),a_fcc(Å),a_hcp(Å),c_hcp(Å),c/a_hcp,a_dhcp(Å),c_dhcp(Å),c/a_dhcp
Cr0.50_Co0.25_Fe0.25,500,34.20548252,26.5612031,44.12239672,1.66115957,57.21998413,11.53694986,0.201624486
Cr0.50_Co0.40_Fe0.10,150,34.52992652,26.21942396,42.10939252,1.60603805,53.50961732,11.17242745,0.208792886
Cr0.50_Co0.40_Fe0.10,300,34.53422252,27.80778726,44.9251622,1.615560483,56.74005622,10.77584017,0.189915923
Cr0.50_Co0.40_Fe0.10,500,34.51786187,27.81769815,43.40369105,1.560290532,57.21998413,11.53694986,0.201624486
Cr0.50_Co0.50_Fe0.00,150,34.53067412,26.97187666,42.77568831,1.585936672,53.50961732,11.17242745,0.208792886
Cr0.50_Co0.50_Fe0.00,300,34.5682731,28.12880957,45.95676312,1.633796944,56.74005622,10.77584017,0.189915923
Cr0.50_Co0.50_Fe0.00,500,34.58833564,28.08973193,47.12386509,1.677618897,57.21998413,11.53694986,0.201624486
Cr0.67_Co0.17_Fe0.17,150,34.62312612,26.53394059,41.46407331,1.562680566,53.50961732,11.17242745,0.208792886
Cr0.67_Co0.17_Fe0.17,300,34.65650909,26.04554993,42.41302553,1.628417355,56.74005622,10.77584017,0.189915923
Cr0.67_Co0.17_Fe0.17,500,34.57859005,27.4229557,44.54456063,1.62435301,57.21998413,11.53694986,0.201624486
Cr0.75_Co0.00_Fe0.25,150,34.79126681,25.72537405,41.15806968,1.5999017,53.50961732,11.17242745,0.208792886
Cr0.75_Co0.00_Fe0.25,300,34.89448695,26.46549793,43.35593448,1.638205886,56.74005622,10.77584017,0.189915923
Cr0.75_Co0.00_Fe0.25,500,35.02035009,26.50253383,42.65516225,1.609474872,57.21998413,11.53694986,0.201624486
Cr0.75_Co0.25_Fe0.00,150,34.60675901,25.97749812,42.79731703,1.647476475,53.50961732,11.17242745,0.208792886
Cr0.75_Co0.25_Fe0.00,300,34.65000216,27.44196073,44.53066883,1.622721833,56.74005622,10.77584017,0.189915923
Cr0.75_Co0.25_Fe0.00,500,34.74504491,27.45433758,45.83653978,1.669555481,57.21998413,11.53694986,0.201624486
Cr1.00_Co0.00_Fe0.00,150,35.43917159,25.60312869,40.40050079,1.577951714,53.50961732,11.17242745,0.208792886
Cr1.00_Co0.00_Fe0.00,300,35.53133619,25.21938397,41.25263709,1.63575118,56.74005622,10.77584017,0.189915923
Cr1.00_Co0.00_Fe0.00,500,35.55848514,25.66125158,41.6628901,1.623572021,57.21998413,11.53694986,0.201624486
