composition,T(K),E_fcc(eV/atom),E_hcp(eV/atom),E_dhcp(eV/atom),γ_ISF(mJ/m²),γ_ESF(mJ/m²),γ_Twin(mJ/m²)
Cr0.67_Co0.17_Fe0.17,500,0.008649306,0.01113614,0.01153695,0.1540119,0.110164648,0.07700595
Cr0.75_Co0.00_Fe0.25,150,0.008704911,0.010289517,0.011172427,0.130240572,0.086029981,0.065120286
Cr0.75_Co0.00_Fe0.25,300,0.008713775,0.010838984,0.01077584,0.108421307,0.082145985,0.054210653
Cr0.75_Co0.00_Fe0.25,500,0.008728005,0.010663791,0.01153695,0.147247383,0.098992592,0.073623692
Cr0.75_Co0.25_Fe0.00,150,0.00865907,0.010699329,0.011172427,0.134329063,0.094425487,0.067164531
Cr0.75_Co0.25_Fe0.00,300,0.008661589,0.011132667,0.01077584,0.112687258,0.089270066,0.056343629
Cr0.75_Co0.25_Fe0.00,500,0.008669513,0.011459135,0.01153695,0.152515917,0.113352214,0.076257958
Cr1.00_Co0.00_Fe0.00,150,0.008858624,0.010100125,0.011172427,0.118213778,0.074964171,0.059106889
Cr1.00_Co0.00_Fe0.00,300,0.008878252,0.010313159,0.01077584,0.09642184,0.066438849,0.04821092
Cr1.00_Co0.00_Fe0.00,500,0.008895076,0.010415723,0.01153695,0.133983122,0.086271527,0.066991561
